                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5933,                 1.2651,                 1.5393,                 0.8745,                0.79482,                0.84247,                0.39512,                 1.6893,                 1.1158,                 1.8211,              0.0014029,              0.0014029,              0.0014029
                     35,                 1.5726,                 1.3126,                 1.5471,                0.80454,                0.74531,                0.79767,                0.35319,                 1.8752,                 1.1735,                 1.9125,              0.0013947,              0.0013947,              0.0013947
                     36,                 1.5694,                 1.3535,                 1.5382,                 0.7802,                0.75812,                0.79587,                0.36794,                 1.7906,                 1.1037,                 1.9016,              0.0013864,              0.0013864,              0.0013864
                     37,                 1.5763,                 1.2992,                 1.5437,                0.83515,                 0.7455,                0.79876,                0.35434,                   1.93,                 1.1454,                 1.9726,              0.0013782,              0.0013782,              0.0013782
                     38,                 1.5716,                 1.2671,                  1.528,                0.90549,                 0.8359,                0.85547,                0.37531,                 1.7904,                0.99585,                 1.8581,              0.0013699,              0.0013699,              0.0013699
                     39,                 1.5658,                 1.3268,                 1.5353,                0.91886,                0.81195,                0.85352,                0.40372,                 1.8122,                 1.0984,                 1.8777,              0.0013617,              0.0013617,              0.0013617
                     40,                 1.5917,                  1.304,                 1.5522,                0.79476,                0.81068,                0.77912,                0.36757,                 1.7885,                 1.1293,                 1.8544,              0.0013534,              0.0013534,              0.0013534
                     41,                 1.5027,                 1.2736,                 1.4967,                0.80167,                0.86624,                0.85647,                0.39794,                 1.7379,                 1.1106,                 1.8196,              0.0013452,              0.0013452,              0.0013452
                     42,                 1.5485,                 1.2912,                  1.516,                0.82141,                0.87551,                0.89376,                0.40516,                 1.7536,                 1.0589,                 1.8508,              0.0013369,              0.0013369,              0.0013369
                     43,                 1.5538,                 1.2497,                 1.5334,                0.81237,                0.79169,                0.81802,                0.35332,                 1.8924,                 1.0623,                 1.9449,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.5574,                 1.2711,                 1.5393,                0.73886,                0.70684,                 0.7188,                0.33837,                 1.8545,                 1.1945,                 1.9139,              0.0013204,              0.0013204,              0.0013204
                     45,                  1.528,                 1.2616,                 1.5029,                 0.8406,                0.82971,                0.86746,                0.38913,                 1.7925,                 1.0434,                 1.8399,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.5152,                  1.206,                 1.4898,                0.76059,                0.84872,                0.79258,                0.36747,                 1.8041,                 1.1012,                 1.8463,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.5285,                 1.1802,                  1.488,                0.79539,                 0.8453,                0.82565,                0.37514,                 1.8525,                 1.0748,                 1.8527,              0.0012957,              0.0012957,              0.0012957
                     48,                 1.5069,                 1.1972,                 1.5195,                0.66234,                0.76379,                0.69863,                0.32722,                 1.8888,                 1.0736,                 1.9299,              0.0012874,              0.0012874,              0.0012874
                     49,                  1.524,                 1.1962,                 1.5033,                0.83728,                0.82282,                0.84134,                 0.3987,                 1.8054,                 1.0263,                  1.885,              0.0012792,              0.0012792,              0.0012792
                     50,                 1.4871,                 1.1975,                  1.486,                0.75786,                0.78974,                0.80781,                0.35754,                 1.9417,                 1.1425,                 1.9753,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.4734,                 1.1477,                 1.4636,                0.82361,                0.82009,                 0.8343,                0.37324,                 1.8251,                 1.0366,                 1.9129,              0.0012627,              0.0012627,              0.0012627
                     52,                 1.5135,                 1.1434,                 1.4729,                 0.7755,                0.80256,                0.81062,                0.34869,                 1.8921,                 1.0946,                   1.98,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.4635,                  1.149,                 1.4468,                0.83546,                0.83291,                0.81546,                0.39002,                 1.8238,                 1.0187,                 1.9177,              0.0012462,              0.0012462,              0.0012462
                     54,                 1.4857,                 1.1539,                  1.476,                0.83987,                0.74852,                0.79575,                0.37029,                 1.7615,                 1.0544,                  1.892,              0.0012379,              0.0012379,              0.0012379
                     55,                 1.4338,                 1.0675,                  1.441,                0.74752,                0.75812,                0.75003,                0.37084,                 1.7646,                 1.0674,                 1.8467,              0.0012297,              0.0012297,              0.0012297
                     56,                 1.4501,                 1.1282,                 1.4375,                0.86556,                  0.796,                0.82831,                0.37946,                  1.763,                 1.0129,                 1.8556,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.4575,                 1.0675,                  1.422,                0.70175,                 0.6938,                0.69308,                0.32161,                 1.8729,                 1.0721,                 1.9531,              0.0012132,              0.0012132,              0.0012132
                     58,                 1.4023,                 1.1117,                 1.4106,                0.84986,                0.83932,                0.85604,                0.40583,                 1.8636,                 1.0238,                 1.9397,              0.0012049,              0.0012049,              0.0012049
                     59,                 1.4523,                 1.0642,                 1.4397,                0.79982,                0.80184,                0.80018,                0.39706,                 1.8242,                 1.1607,                 1.9271,              0.0011967,              0.0011967,              0.0011967
                     60,                 1.4172,                 1.0879,                  1.404,                0.83212,                0.77564,                0.82089,                0.41057,                 1.7654,                 1.0233,                 1.8475,              0.0011884,              0.0011884,              0.0011884
                     61,                 1.4326,                 1.0875,                 1.4379,                0.79325,                0.68913,                0.74401,                0.35244,                 1.8153,                 1.0636,                 1.9019,              0.0011802,              0.0011802,              0.0011802
                     62,                 1.3908,                 1.0333,                 1.4102,                0.78416,                0.80897,                0.81721,                0.38404,                 1.7977,                 1.0073,                 1.8996,              0.0011719,              0.0011719,              0.0011719
                     63,                 1.4527,                 1.0627,                 1.4377,                0.76226,                0.79615,                0.77503,                0.36947,                  1.852,                0.99971,                 1.9776,              0.0011636,              0.0011636,              0.0011636
                     64,                 1.3927,                 1.0687,                 1.4215,                0.80504,                0.81863,                0.82137,                0.38073,                 1.8165,                 1.0243,                 1.9504,              0.0011554,              0.0011554,              0.0011554
